code,name,latitude,longitude,raio,validado
A104,Centazzi_Seixal,38.604437973477,-9.069888014249,50,True
A136,S&A - Soc Ind Aperitivos,40.21994,-8.5995,150,True
A136T,S&A Taveiro,40.191963065582,-8.5159729478902,50,True
A554,Ribeiralves | Torres Vedras,39.055851937973,-9.2545038184547,100,True
A605,Águas Monchique,37.161464305667,-8.6336677334649,50,True
A70,Poveiros,41.146188874385,-8.6043836542571,50,True
A91,Venda do Pinheiro,38.923075845517,-9.2324085678018,50,True
AAA,IFCO,39.058476563907,-8.905725364418,80,True
B029,Mendes & Gonçalves,39.415449564126,-8.4887480918885,100,True
B100,Ovos CAC,39.829790997108,-8.7294635853195,150,True
B12,Pinhal Novo,38.631438223236,-8.9166820051332,50,True
B34,Vale da Amoreira,38.64561,-9.03703,50,True
B53,Benfica,38.743506704002,-9.1750967506687,50,True
B63,Torres Vedras P,39.09579338746,-9.26003,50,False
B67,Cascais,38.71961,-9.44058,50,True
B68,Peniche,39.359083,-9.375361,50,False
B75,Ericeira,38.966712546576,-9.4069018988068,50,True
B82,Paiões,38.76692,-9.31947,50,True
B85,Mercado Santos,38.743185249166,-9.1584972330701,63,True
B86,Buraca,38.74081,-9.21161,50,True
C015,Renova,39.492159302576,-8.6070891687632,190,True
C016,Montebravo,39.461900420793,-8.5347645812232,50,True
C20,ALE,39.587900768791,-9.0155808907597,50,True
C21,Torrestir,39.042131601708,-8.9218757123669,190,True
C27,AMI Lisboa,38.785481947035,-9.1168774783699,50,True
C28,A Tarte,38.774565313643,-9.3603976797712,50,True
C31,CNEMA,39.22156073121,-8.6996980666316,50,True
C33,LPR Santo Tirso,41.337287073692,-8.4982251032457,50,True
C671,Sovena - Carregado,39.031619049474,-8.9666526963131,110,True
C671B,Sovena Barreiro,38.669953566465,-9.0680363521149,50,True
C744,Jacquot,38.909515074663,-9.0283108369793,50,True
C750M,Lactogal Modivas,41.300514958332,-8.6958477306885,250,True
C750O,Lactogal Oliveira Azemeis,40.838790732297,-8.4831662851807,100,True
C756,Cerealis,41.2015,-8.59442,110,True
C763,Cordeiro e Filhos,37.065157831372,-7.9641806322734,70,True
C865,Batatas Mirense,40.467394597834,-8.722394820203,84,True
C956,Águas Penacova,40.278838372128,-8.2716781650471,56,True
C956M,Aguas Penacova,40.278815898998,-8.2714407766052,60,True
D660,Lactogal Tocha,40.311302441712,-8.7530294440566,100,True
H93,Marco de Canaveses,41.179315550369,-8.154985123487,50,True
I104,Caves Avelar,39.914009842724,-8.3680381184547,50,True
I163,Sumol Leiria,39.739248151024,-8.76571583928,160,True
I163A,Sumol Almeirim,39.21667,-8.61842,150,True
I163P,Sumol Pombal,39.9195,-8.63761,150,True
I301,Sanguinhal,39.26723984451,-9.1538221335605,50,True
I402,Ovos Caramulo,40.48542,-8.08911,190,True
I443,Longa Vida,41.22972,-8.70553,400,True
I463,Monte D´Alva,38.71447,-8.97172,100,True
